ACVD,CAD,CAD;T2D,CRC,HF;CAD,HF;CAD;T2D,IBD,IGT,ME/CFS,STH,T2D,adenoma,ascites;cirrhosis,ascites;cirrhosis;hepatitis,carcinoma_surgery_history,cirrhosis,cirrhosis;hepatitis,few_polyps,healthy,hypertension,schizophrenia
Weissella_confusa,Gemmiger_sp_An194,Erysipelothrix_larvae,Treponema_socranskii,Haemophilus_parainfluenzae,Barnesiella_viscericola,Oribacterium_asaccharolyticum,Actinobaculum_massiliense,Collinsella_stercoris,Bacteroides_ovatus,Porphyromonas_sp_HMSC065F10,Mogibacterium_diversum,Gemmiger_formicilis,Prevotella_sp_oral_taxon_306,Stomatobaculum_longum,Aggregatibacter_segnis,Leptotrichia_sp_oral_taxon_215,Faecalibacterium_prausnitzii,Prevotella_salivae,Actinomyces_graevenitzii,Macrococcus_caseolyticus
Actinomyces_georgiae,Absiella_dolichum,Fusobacterium_periodonticum,Neisseria_elongata,Veillonella_infantium,Lachnoclostridium_sp_An131,Ralstonia_pickettii,Lactobacillus_oris,Cloacibacterium_normanense,Bacteroides_finegoldii,Peptoniphilus_lacrimalis,Parvimonas_micra,Bacteroides_nordii,Prevotella_denticola,Actinomyces_sp_ICM47,Haemophilus_parainfluenzae,Prevotella_multisaccharivorax,Megamonas_hypermegale,Prevotella_melaninogenica,Anaerolineaceae_bacterium_oral_taxon_439,Enterorhabdus_caecimuris
Pediococcus_pentosaceus,Carnobacterium_divergens,Dorea_sp_CAG_317,Oribacterium_sp_oral_taxon_078,Campylobacter_concisus,Bifidobacterium_breve,Actinomyces_odontolyticus,Cutibacterium_acnes,Acinetobacter_junii,Eggerthella_lenta,Porphyromonas_uenonis,Lachnospiraceae_bacterium_oral_taxon_096,Atopobium_rimae,Veillonella_parvula,Paraprevotella_clara,Streptococcus_parasanguinis,Prevotella_nigrescens,Coprobacter_secundus,Prevotella_histicola,Pseudopropionibacterium_propionicum,Proteus_vulgaris
Lactococcus_lactis,Murimonas_intestini,Dielma_fastidiosa,Treponema_denticola,Dialister_pneumosintes,Enterorhabdus_caecimuris,Streptococcus_infantis,Weissella_viridescens,Lactobacillus_gasseri,Bacteroides_thetaiotaomicron,Bacteroides_coagulans,Enterobacter_mori,Streptococcus_oralis,Prevotella_jejuni,Streptococcus_mitis,Prevotella_denticola,Oribacterium_sp_oral_taxon_078,Phascolarctobacterium_succinatutens,Prevotella_denticola,Stomatobaculum_longum,Actinomyces_naeslundii
Actinomyces_massiliensis,Leuconostoc_carnosum,Neisseria_flavescens,Selenomonas_sp_FOBRC6,Aggregatibacter_aphrophilus,Fusobacterium_sp_CAG_439,Rothia_mucilaginosa,Finegoldia_magna,Allisonella_histaminiformans,Parabacteroides_johnsonii,Prevotella_sp_S7_1_8,Enterococcus_gallinarum,Klebsiella_variicola,Prevotella_oulorum,Prevotella_nigrescens,Streptococcus_oralis,Selenomonas_sp_oral_taxon_126,Firmicutes_bacterium_CAG_83,Filifactor_alocis,Acidovorax_sp_MR_S7,Hafnia_alvei
Leuconostoc_pseudomesenteroides,Eubacterium_dolichum_CAG_375,Neisseria_subflava,Treponema_sp_OMZ_838,Megamonas_hypermegale,Lachnoclostridium_sp_An14,Selenomonas_sputigena,Lactobacillus_sakei,Eubacterium_brachy,Bacteroides_massiliensis,Anaerococcus_vaginalis,Lactobacillus_iners,Klebsiella_quasipneumoniae,Veillonella_dispar,Oribacterium_asaccharolyticum,Aeriscardovia_aeriphila,Streptococcus_pseudopneumoniae,Firmicutes_bacterium_CAG_145,Tannerella_forsythia,Actinomyces_sp_oral_taxon_897,Blautia_hydrogenotrophica
Enterococcus_sulfureus,Stomatobaculum_longum,Neisseria_sicca,Selenomonas_sp_oral_taxon_126,Streptococcus_anginosus_group,Catabacter_hongkongensis,Mogibacterium_diversum,Parabacteroides_gordonii,Streptococcus_salivarius,Bacteroides_xylanisolvens,Corynebacterium_aurimucosum,Eubacterium_sulci,Clostridium_sp_CAG_242,Stomatobaculum_longum,Prevotella_melaninogenica,Prevotella_sp_F0091,Clostridium_hylemonae,Clostridium_lavalense,Eggerthia_catenaformis,Selenomonas_noxia,Melissococcus_sp_OM08_11BH
Corynebacterium_matruchotii,Eubacterium_limosum,Bacteroides_caecimuris,Haemophilus_parainfluenzae,Streptococcus_infantis,Odoribacter_laneus,Actinomyces_sp_S6_Spd3,Citrobacter_amalonaticus,Bulleidia_extructa,Bacteroides_vulgatus,Corynebacterium_amycolatum,Actinomyces_sp_ICM47,Lactobacillus_panis,Actinomyces_graevenitzii,Atopobium_parvulum,Agitococcus_lubricus,Streptococcus_sp_NLAE_zl_C503,Coprococcus_comes,Prevotella_dentalis,Actinomyces_massiliensis,Enterococcus_faecalis
Streptococcus_sinensis,Actinomyces_sp_ICM47,Absiella_dolichum,Actinomyces_sp_S6_Spd3,Streptococcus_australis,Clostridium_sp_CAG_242,Cardiobacterium_hominis,Olsenella_uli,Acidovorax_caeni,Clostridium_sp_CAG_299,Lawsonella_clevelandensis,Gemmiger_sp_An50,Desulfovibrio_piger,Lachnoanaerobaculum_saburreum,Oribacterium_sinus,Shuttleworthia_satelles,Streptococcus_sp_HMSC034E03,Bacteroides_thetaiotaomicron,Alloprevotella_tannerae,Corynebacterium_durum,Lactobacillus_mucosae
Eubacterium_nodatum,Clostridium_innocuum,Anaerotignum_lactatifermentans,Eggerthia_catenaformis,Streptococcus_gordonii,Parabacteroides_johnsonii,Actinomyces_sp_ICM47,Lactobacillus_vaginalis,Lactobacillus_fermentum,Bacteroides_cellulosilyticus,Leclercia_adecarboxylata,Clostridium_spiroforme,Citrobacter_europaeus,Rothia_dentocariosa,Actinomyces_graevenitzii,Veillonella_sp_T11011_6,Eubacterium_sulci,Lawsonibacter_asaccharolyticus,Olsenella_uli,Actinomyces_sp_oral_taxon_414,Proteus_penneri
